vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,16.43333333,0,173.6676118,1,pacific
other,290.8666667,0,1173.774571,0,pacific
other,18.33333333,0,26.03270469,1,pacific
other,44.31666667,0,47.02575759,1,pacific
other,22.53333333,0,388.9596811,1,pacific
other,13.18333333,0,229.4785117,1,pacific
other,13.26666667,0,213.7363001,1,pacific
other,15.96666667,0,16.88596958,1,pacific
other,16.8,0,93.89631676,1,pacific
other,40.56666667,0,28.86141771,1,pacific
other,14.33333333,0,225.0528657,1,pacific
other,108.9333333,0,89.51583314,1,pacific
other,21.75,0,14.47908598,1,pacific
other,22.4,0,22.8171524,1,pacific
other,24.66666667,0,6.725710176,0,atlantic
other,12.85,0,152.0734914,1,pacific
other,12.66666667,0,161.9434005,1,atlantic
other,14.43333333,0,26.1837281,1,pacific
other,13.95,0,3.998854572,1,pacific
other,46.48333333,0,525.1650151,1,pacific
other,63.4,0,49.13430545,1,atlantic
other,14.75,0,0.040795815,1,atlantic
other,1209.8,0,100.7967435,1,atlantic
other,136.8,0,28.56495512,1,pacific
other,274.8333333,0,44.9170045,1,pacific
other,27.18333333,0,30.50140261,1,pacific
other,682.35,0,347.4158387,1,pacific
other,13.23333333,0,170.3308735,0,pacific
other,140.45,0,205.9538808,0,pacific
other,90.66666667,0,79.32228313,1,atlantic
other,130.1833333,0,10.96239371,1,atlantic
other,27.63333333,0,28.70705194,1,atlantic
other,58.21666667,0,76.44042703,1,atlantic
other,14.21666667,0,118.9621031,0,pacific
other,114.2166667,0,48.18607267,1,pacific
other,13.73333333,0,235.4092483,1,pacific
other,405.1833333,0,527.7429974,0,pacific
other,43.71666667,0,26.87001299,1,pacific
other,684.9,0,228.3155781,1,pacific
other,108.55,0,237.2582388,0,pacific
other,15.25,0,0.89791045,1,atlantic
other,21.31666667,0,83.12186755,1,pacific
other,13.06666667,0,60.80160382,1,pacific
other,109.7666667,0,293.8845369,1,pacific
other,67.55,0,118.4480334,1,pacific
other,169.5333333,0,286.215105,1,pacific
other,26.91666667,0,321.8397479,1,pacific
other,12.16666667,0,83.44428597,1,pacific
other,60.26666667,0,240.075962,1,pacific
other,21.56666667,0,1.33834474,1,atlantic
other,346.75,0,41.90284606,1,pacific
other,187.3,0,7.879710919,1,pacific
other,30.06666667,0,370.4120176,1,pacific
