,exact_name
990,Bering Sea
991,Bering Sea
992,Bering Sea
993,Bering Sea
994,Bering Sea
995,Bering Sea
996,Bering Sea
997,Bering Sea
998,Bering Sea
999,Bering Sea
1000,South Pacific Ocean
1001,South Pacific Ocean
1002,South Pacific Ocean
1003,Bering Sea
1004,Bering Sea
1005,Bering Sea
1006,Bering Sea
1007,Bering Sea
1008,Bering Sea
1009,Bering Sea
1010,Bering Sea
1011,Bering Sea
1012,Bering Sea
1013,Bering Sea
1014,Bering Sea
1015,Bering Sea
1016,Bering Sea
1017,Bering Sea
1018,Bering Sea
1019,Bering Sea
1020,Bering Sea
1021,Bering Sea
1022,South Pacific Ocean
1023,South Pacific Ocean
1024,Bering Sea
1025,Bering Sea
1026,Bering Sea
1027,Bering Sea
1028,Bering Sea
1029,Bering Sea
1030,Bering Sea
1031,Bering Sea
1032,Bering Sea
1033,Bering Sea
1034,Bering Sea
1035,Bering Sea
1036,Bering Sea
1037,Bering Sea
1038,Bering Sea
1039,Bering Sea
1040,Bering Sea
1041,Bering Sea
1042,Bering Sea
1043,South Pacific Ocean
1044,North Pacific Ocean
1045,Bering Sea
1046,Bering Sea
1047,Bering Sea
1048,Bering Sea
1049,Bering Sea
1050,Bering Sea
1051,Bering Sea
1052,Bering Sea
1053,Bering Sea
1054,Bering Sea
1055,Bering Sea
1056,Bering Sea
1057,Bering Sea
1058,Bering Sea
1059,Bering Sea
1060,Bering Sea
1061,Bering Sea
1062,Bering Sea
1063,Bering Sea
1064,Bering Sea
1065,Bering Sea
1066,Bering Sea
1067,Bering Sea
1068,Bering Sea
1069,Bering Sea
1070,South Pacific Ocean
1071,South Pacific Ocean
1072,Bering Sea
1073,Bering Sea
1074,Bering Sea
1075,Bering Sea
1076,Bering Sea
1077,Bering Sea
1078,Bering Sea
1079,Bering Sea
1080,Bering Sea
1081,Bering Sea
1082,Bering Sea
1083,Bering Sea
1084,Bering Sea
1085,Bering Sea
1086,Bering Sea
1087,South Pacific Ocean
1088,Bering Sea
1089,Bering Sea
1090,Bering Sea
1091,Bering Sea
1092,Bering Sea
1093,Bering Sea
1094,Bering Sea
1095,Bering Sea
1096,Bering Sea
1097,Bering Sea
1098,Bering Sea
1099,Bering Sea
1100,Bering Sea
1101,Bering Sea
1102,Bering Sea
1103,Bering Sea
1104,Bering Sea
1105,North Pacific Ocean
1106,South Pacific Ocean
1107,South Pacific Ocean
1108,Bering Sea
1109,Bering Sea
1110,Bering Sea
1111,Bering Sea
1112,Bering Sea
1113,Bering Sea
1114,Bering Sea
1115,Bering Sea
1116,Bering Sea
1117,Bering Sea
1118,North Pacific Ocean
1119,Bering Sea
1120,Bering Sea
1121,Bering Sea
1122,Bering Sea
1123,Bering Sea
